catId,category
929,进口咖啡
930,运动娱乐
931,脏衣篮
932,笔记本散热
933,家居生活
934,投资理财
935,豆浆机
936,地板护理
937,其他男士护理
938,温灸器
939,电影票
940,厚底/松糕鞋
941,瑜伽服饰
942,运动服装
943,汽车GPS
944,其他民族乐器
945,空调扇
946,中老年服饰
947,理发器
948,美容电器
949,鲜花速递
950,锅具
951,卫浴
952,演出/票务
953,换气扇/排气扇
954,暖气/地暖/散热
955,半身裙
956,网卡
957,果盘/果篓
958,大家电
959,电烤箱
960,抱枕/靠垫/坐垫
961,凉鞋
962,键盘
963,运动T恤
964,厨房电器
965,毛衣/羊绒衫
966,花种/花苗
967,铂金/PT
968,杀毒软件
969,体重秤
970,iPhone配件
971,办公设备配件
972,木工用具
973,挂历/台历
974,服装定制
975,宗教/命理
976,民歌
977,皮草
978,生肉/肉制品/禽蛋
979,网络游戏点卡
980,财会用品
981,户外休闲裤
982,猫/狗清洁用品
983,其他家具
984,望远镜
985,工作服/制服
986,沙发套/椅套
987,猫咪
988,饼干/糕点/膨化
989,系统软件
990,旅游用品
991,装饰纸巾盒
992,耳机/耳麦
993,袜子
994,两性关系
995,mp3/mp4
996,手套
997,其他玩具
998,取暖器
999,其他网络设备
1000,西服
1001,女士手提包
1002,点钞/验钞机
1003,其他办公设备/耗材
1004,饭盒袋/保温包
1005,肉肠/鱼肠
1006,笔记本
1007,电影
1008,胎教/胎心仪
1009,口腔护理
1010,鼻毛修剪器
1011,保健/养生
1012,牙线
1013,世界音乐
1014,计生用品
1015,新生儿纪念/宝宝定制
1016,办公用品/文具/文化用品
1017,遮光罩
1018,照明/光源
1019,数码相机
1020,酸奶机
1021,其它乐器/乐器配件
1022,米粉/米糊/汤粥
1023,儿童用包
1024,男士润唇膏
1025,男士洁面
1026,手工皂/精油皂
1027,搅拌/料理机
1028,马桶套/马桶垫
1029,牙粉/牙素
1030,餐巾纸/卫生纸/湿巾
1031,户外休闲服
1032,掌机/PSP
1033,女士手拿包
1034,内裤
1035,日韩流行
1036,乒乓球鞋
1037,施工用具
1038,瑜伽配件
1039,断路器
1040,甩脂机
1041,爵士/蓝调
1042,电熨斗
1043,厨房电器配件
1044,短裤/热裤
1045,MacBook配件
1046,窗帘
1047,DIY工具
1048,烹饪/美食
1049,假睫毛/双眼皮贴
1050,轻音乐
1051,马甲
1052,古籍
1053,工作站
1054,围巾/丝巾
1055,徒步鞋
1056,儿童床上用品
1057,电脑/办公
1058,家具
1059,汽车安全防盗/儿童椅/跟踪器
1060,妈妈奶粉
1061,工艺礼品/摆件
1062,参类滋补品
1063,凉鞋/运动沙滩鞋
1064,电脑音箱
1065,其它书写工具
1066,组合/迷你音响
1067,椅/凳/塌类
1068,综合训练鞋/健身鞋
1069,视频软件
1070,读卡器
1071,仪表仪器
1072,香薰
1073,其它相关项目
1074,户外垫子/地席/压缩枕头
1075,教育培训
1076,艺术
1077,奶瓶/奶嘴
1078,酒柜
1079,脸盆
1080,组装机
1081,进口调味品
1082,羽绒服
1083,扫把/簸箕
1084,餐巾/餐垫/杯垫
1085,电脑/数码清洁
1086,少儿
1087,打印机
1088,百洁布/厨房清洁
1089,牙膏
1090,干电池
1091,拔罐用品
1092,冲锋裤
1093,商用厨电
1094,办公设备/耗材
1095,运动polo衫
1096,科技类图书
1097,运动颈环/手环/指环
1098,眼线
1099,男士腰包
1100,内衣/家居服
1101,少儿/教育图书
1102,黄金
1103,其他外设产品
1104,燕窝
1105,手链/脚链
1106,一次性餐具/餐桌用品
1107,进口保健品
1108,漱口水
1109,驱蚊灭虫
1110,摄像头
1111,运动户外
1112,风水/占卜
1113,教学演示/展示用品
1114,身体乳液/霜
1115,女士斜挎包
1116,考试
1117,电子音乐/舞曲
1118,眉部彩妆
1119,电纸书/电子阅览器
1120,户外袜子
1121,洗发水
1122,iPad配件
1123,化妆水/爽肤水
1124,数码相框
1125,电子/水电工
1126,隔离打底
1127,产后塑身
1128,手机/数码
1129,GPS/指南针/野外通讯
1130,中小型健身器材
1131,猫主粮
1132,剃须膏/啫喱
1133,营养面条
1134,弹力素
1135,隐形眼镜
1136,儿童套装
1137,其它厨房清洁
1138,马桶刷
1139,绘画/DIY/手工
1140,游戏附件/周边
1141,传真机
1142,儿童乐器/音乐玩具
1143,汽车香水/净化/降温剂
1144,儿童
1145,户外箱包
1146,电子体温计
1147,职业套装/制服/校服
1148,数位板/手写板
1149,家庭影院
1150,盆栽
1151,维修保养服务
1152,农业/林业
1153,滑雪鞋
1154,抓绒裤
1155,五金/工具
1156,汽车清洗工具/清洗用品
1157,基础建材
1158,清洁/消毒
1159,MP3/MP4配件
1160,西服套装
1161,发胶/啫喱
1162,足部护理
1163,牛仔裤
1164,话剧/音乐会/戏曲/舞蹈/其他
1165,保鲜袋/保鲜膜
1166,电饭煲
1167,女士双肩包
1168,Hifi音响配件
1169,录音笔
1170,LED
1171,蓬松喷雾
1172,靴裤
1173,其他婴儿用品
1174,床品定制/其他
